Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Deset x CDV,2025-05-24T00:00:00.000,2025-05-24T12:00:00.000,2025-05-25T06:00:00.000,"Caruan, Daox, Kalabrese, Markus Nikolai, Nastik (UA), Joohin",Club der Visionaere,/events/2171977,10
FLOATHOUSE STUDIO POP UP SHOWROOM & AFTERPARTY,2025-05-24T00:00:00.000,2025-05-24T15:00:00.000,2025-05-25T05:00:00.000,"Kleinefrigo, THE HOLY (1)",Chausseestrasse 131,/events/2172885,8
Rhythmusstube,2025-05-24T00:00:00.000,2025-05-24T22:00:00.000,2025-05-25T06:00:00.000,,La Casa,/events/2158433,8
Bahama Beach,2025-05-24T00:00:00.000,2025-05-24T23:59:00.000,2025-05-25T08:00:00.000,,Fitzroy,/events/2160731,7
Gelbe Tonne,2025-05-24T00:00:00.000,2025-05-24T19:00:00.000,2025-05-25T07:00:00.000,"Aton, cxtene, Dean Denali, JC~FQ, Ludovica Frauu, todojunto, Ytu (DE)",TBA - Secret Location,/events/2169561,7
DEAD SOCIETY PRESENTS: PVNISHMENT/SNIFF/BLOKE,2025-05-24T00:00:00.000,2025-05-24T20:00:00.000,2025-05-25T01:00:00.000,,Hinterraum,/events/2158791,8
Science of Rave x Holzmarkt,2025-05-24T00:00:00.000,2025-05-24T15:00:00.000,2025-05-25T01:00:00.000,"Astrocue, Kristina Sheli, Cyranotaurus Cortex, Aamir, Discotopian",Holzmarkt 25,/events/2173439,9
embraceOurweird x Move Control - FREE OPEN AIR - AESTHETICS,2025-05-24T00:00:00.000,2025-05-24T15:00:00.000,2025-05-25T09:00:00.000,"Diskokatze, VEB Elektrokunst, BEAUTYPUNK, JaFrei Loufoque, Stampf zum Beat",TBA - via Linktree & Telegram,/events/2159205,6
"Sweet Spot /// Juan Ramos, Femdelic",2025-05-24T00:00:00.000,2025-05-24T23:00:00.000,2025-05-25T08:00:00.000,"Juan Ramos, Femdelic",Beate Uwe,/events/2143011,4
"Maximum Joy with Din Daa Daa, Luigi Di Venere, Maneta",2025-05-24T00:00:00.000,2025-05-24T22:30:00.000,2025-05-25T07:00:00.000,"Din Daa Daa, Luigi Di Venere, Maneta",Sameheads,/events/2152196,4
Etikett Radio: Spring Bloom,2025-05-24T00:00:00.000,2025-05-24T13:00:00.000,2025-05-24T21:00:00.000,"Type1, GRETA (2)",Funkhaus Berlin,/events/2166616,4
O/Y Live* / Doubt Records (Berlin),2025-05-24T00:00:00.000,2025-05-24T20:30:00.000,2025-05-24T23:59:00.000,O/Y,Pastiche,/events/2167878,4
the HOLE,2025-05-24T00:00:00.000,2025-05-24T23:00:00.000,2025-05-25T11:00:00.000,"Fabian Fischbach, Morris Fitch, DJ Doorkeeper",Der Weiße Hase,/events/2171066,4
"LASCHIAN presents LEOPARTEY w. Halm *live, Hanic *live*, Katzenohr, Midani, SIAAH, Solatic",2025-05-24T00:00:00.000,2025-05-24T16:00:00.000,2025-05-25T03:00:00.000,"Katzenohr, SIAAH, Solatic",Klunkerkranich,/events/2172278,4
warming release chill in,2025-05-24T00:00:00.000,2025-05-24T20:00:00.000,2025-05-25T02:00:00.000,"Toxido Mask, Sui (1), Klex, Mars Leder",Kwia,/events/2172756,4
Letzte Welle #1,2025-05-24T00:00:00.000,2025-05-24T23:00:00.000,2025-05-25T06:00:00.000,Testbild,Acud Macht NEU,/events/2135145,3
Disko International #30 with Valentino 45,2025-05-24T00:00:00.000,2025-05-24T22:00:00.000,2025-05-25T06:00:00.000,"Valentino 45, Kava (GE)",Panke,/events/2158641,3
Fazorama + Afterhour,2025-05-23T00:00:00.000,2025-05-23T23:59:00.000,2025-05-24T23:59:00.000,"Haito, Hardy Hard, Edgar Peng, Samuel Fach, Hagel, Jased, Koljah",Golden Gate,/events/2168120,4
Corpo de Baile No. 2,2025-05-24T00:00:00.000,2025-05-24T18:00:00.000,2025-05-25T04:00:00.000,"riss, Mamede",Cocoonbln,/events/2170012,4
Trash/80s/90s/Hip Hop and House on two floors,2025-05-24T00:00:00.000,2025-05-24T19:00:00.000,2025-05-25T05:00:00.000,,Promenaden Eck,/events/2164229,2
The Hoochie Koo - Bump'n'Grind ,2025-05-24T00:00:00.000,2025-05-24T21:00:00.000,2025-05-25T04:00:00.000,"Don Rogall, Host (CA), Special Guest (US)",So36,/events/2171729,2
House Fusion,2025-05-24T00:00:00.000,2025-05-24T22:00:00.000,2025-05-25T03:00:00.000,Dante Tom,Amano,/events/2151065,1
SUB_BAR: Beyond listening: the revolution is touch,2025-05-24T00:00:00.000,2025-05-24T15:00:00.000,2025-05-24T20:00:00.000,,Illuseum,/events/2166855,1
HERE SURROUNDED BY WATER,2025-05-24T00:00:00.000,2025-05-24T19:30:00.000,2025-05-24T21:00:00.000,,TAK Theater Aufbau Kreuzberg,/events/2167079,1
Klubnacht,2025-05-24T00:00:00.000,2025-05-24T23:59:00.000,2025-05-25T15:00:00.000,"Ray Mono, SaPu, Memek, beccs, Bombe",Golden Gate,/events/2168121,1
choose: free all antifas,2025-05-24T00:00:00.000,2025-05-24T15:00:00.000,2025-05-25T10:00:00.000,"Ali Rajat, Kenji Tanaka, Miau Sayonara, stinia3000",TBA - Berlin / DM for location: ,/events/2171226,1
La Casita Recordings,2025-05-24T00:00:00.000,2025-05-24T22:00:00.000,2025-05-25T06:00:00.000,"Chichöl, Mhauro, Mati Amoretti",Nachtleben Berlin,/events/2174979,5
La Nave Del Olvido @ Bar Neun,2025-05-24T00:00:00.000,2025-05-24T21:00:00.000,2025-05-25T06:00:00.000,,Bar Neun,/events/2175053,1
Techno Moon Night - Saturday,2025-05-24T00:00:00.000,2025-05-24T22:00:00.000,2025-05-25T06:00:00.000,,Soda Club,/events/2147815,0
Sky-Bar Warmup - Free Entrance - Oldschool Hiphop Soul,2025-05-24T00:00:00.000,2025-05-24T18:00:00.000,2025-05-25T03:00:00.000,,Solar,/events/2160231,0
Radio Vampiro,2025-05-24T00:00:00.000,2025-05-24T21:00:00.000,2025-05-25T02:00:00.000,,Bar Neun,/events/2170859,0
ARVI X SAFADA,2025-05-24T00:00:00.000,2025-05-24T23:59:00.000,2025-05-25T06:00:00.000,"Glabra, Gadutra",Zur Klappe,/events/2174019,0
Abgesagt,2025-05-24T00:00:00.000,2025-05-24T23:00:00.000,2025-05-25T05:30:00.000,,TBA,/events/2174849,0
Käptens Club Party - Disco pur,2025-05-24T00:00:00.000,2025-05-24T21:00:00.000,2025-05-25T05:00:00.000,,Hafenbar Berlin,/events/2174855,0
"Studio dB Prod: Masha Dusapin, AVA Rabiat, XI-N, Katemos, tmwykad, haden, vip client",2025-05-23T00:00:00.000,2025-05-23T20:00:00.000,2025-05-25T02:00:00.000,"Masha Dusapin, XI-N, tell me what you know about death",Studio dB,/events/2174816,1
[CANCELLED] Diskotek Free Open Air at SEZ,2025-05-24T00:00:00.000,2025-05-24T14:00:00.000,2025-05-24T22:00:00.000,"Daniella Bjarnhof, Family Business, DJ Omlet, Blachord, Papa Hase, Valenso",Recede Club Berlin,/events/2105616,66
SEVEN Sunday,2025-05-25T00:00:00.000,2025-05-25T14:00:00.000,2025-05-26T06:00:00.000,"CRYME, Cybersex, Daisy Weweh, DHC, ferrari rot, FRÆNZ:, Ines Cartas, Katy De Jesus, limbic sis, Natalie Robinson, Posture, SENERGI, SIBAST, Sparkly Pony, slin, Yen Sung, Tal Fussman",Else,/events/2067486,920
Rooftop POWER,2025-05-25T00:00:00.000,2025-05-25T14:00:00.000,2025-05-25T22:00:00.000,Power Squad,Amano East-Side,/events/2146703,349
Klubnacht,2025-05-24T00:00:00.000,2025-05-24T23:59:00.000,2025-05-26T06:00:00.000,"Yanamaste, AMORAL, Ben Klock, Nastya Vogan, Norman Nodge, Phara, Phase Fatale, Unhuman, Chloé, Dukwa, ISAbella, Lis Sarroca, N I K O L A, Ogazón, Victor (DE)",Berghain | Panorama Bar | Säule,/events/2133594,295
NEVER SLEEP pres Five Years Anniversary Showcase,2025-05-24T00:00:00.000,2025-05-24T23:00:00.000,2025-05-26T06:00:00.000,"Gabber Eleganza, soraya (DE), Violent Magic Orchestra, Wutu, Ema Leo, FLUCC, LØUS",DSTRKT (former Anomalie),/events/2135603,216
